id,place_id,nombre,direccion,lat,lon,rating,num_reviews,google_maps_url,tipos,query_origen,barrio
001,ChIJUcItNvWaP44RRi9_rm9immw,Vapiano Colombia Restaurante Italiano,"Cra. 12a #83 - 11, Vapiano, Bogotá, Colombia",4.667606,-74.05413399999999,4.7,10053.0,https://maps.google.com/?cid=7825675534318120774&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, point_of_interest, food, establishment",restaurante italiano Bogotá,Vapiano
002,ChIJv5caPvybP44RcRWTKtso-Fo,Storia D'Amore zona T,"Kr 13 #82-36, Bogotá, Colombia",4.667218699999999,-74.0546568,4.7,7987.0,https://maps.google.com/?cid=6555034179414988145&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, point_of_interest, food, establishment",restaurante italiano Bogotá,
003,ChIJ1VnlNciaP44Ru2TfXEBki40,Seratta Gourmand | Restaurante de Alta Cocina,"Cra. 45 #114-44, Bogotá, Colombia",4.6983698,-74.05473719999999,4.6,6233.0,https://maps.google.com/?cid=10199356008709448891&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"restaurant, mediterranean_restaurant, italian_restaurant, grocery_store, spanish_restaurant, food_store, food, furniture_store, home_improvement_store, home_goods_store, point_of_interest, store, service, establishment",comida española Bogotá,
004,ChIJwZkN4lGaP44R-gt8kA3SbJA,Trattoria de la Plaza | 7 de agosto Bogotá,"Cl. 66 # 22-45 piso 2, Bogotá, Colombia",4.6566144,-74.070086,4.6,5292.0,https://maps.google.com/?cid=10406923794646830074&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, point_of_interest, food, establishment",restaurante italiano Bogotá,
005,ChIJtfDZiJqZP44R-G_-QmrdkM0,Restaurante español Gaudí,"Cra. 4a #27-54, Santa Fé, Bogotá, Cundinamarca, Colombia",4.614387499999999,-74.0661466,4.6,4779.0,https://maps.google.com/?cid=14812582622881804280&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"spanish_restaurant, tapas_restaurant, mediterranean_restaurant, basque_restaurant, bar, event_venue, restaurant, food, point_of_interest, service, establishment",restaurante español Bogotá Colombia,Santa Fé
006,ChIJPTNkN9qbP44R2ncGzVOIvbE,Astoria Rooftop | The Best Rooftop in Colombia,"Salón 1, Ac. 85 #12-66 Piso 15, Bogotá, Colombia",4.6691044999999995,-74.0531802,4.5,4659.0,https://maps.google.com/?cid=12807542808814974938&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"bar_and_grill, western_restaurant, british_restaurant, fine_dining_restaurant, american_restaurant, bar, restaurant, food, event_venue, point_of_interest, establishment",mediterranean food Bogotá,Ac. 85 #12-66 Piso 15
007,ChIJ3dZCEKiaP44RLFKPH51bpg4,El Mediterráneo By Andrei,"Cl. 117 #6-09, Usaquén, Bogotá, Cundinamarca, Colombia",4.6939399,-74.03117619999999,4.6,4146.0,https://maps.google.com/?cid=1055631893062439468&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"mediterranean_restaurant, italian_restaurant, french_restaurant, restaurant, food, point_of_interest, establishment",restaurante mediterráneo Bogotá,Usaquén
008,ChIJSch52e-bP44Rc5gZcgXzROM,Piazza by Storia D'Amore Calle 93 Bogotá,"Cl. 93a #13A-21, Bogotá, Colombia",4.677162,-74.05020139999999,4.7,3704.0,https://maps.google.com/?cid=16376481349740632179&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, point_of_interest, food, establishment",restaurante italiano Bogotá,
009,ChIJJ79ybpKaP44RkCO14Rz_XjQ,La Fabbrica,"Cra. 11a #93b-12, Bogotá, Colombia",4.6768091,-74.0472857,4.6,3322.0,https://maps.google.com/?cid=3773734037293966224&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, point_of_interest, food, establishment",restaurante italiano Bogotá,
010,ChIJl0nMaYyaP44RySviL0RjmLA,Cacio & Pepe,"Cra. 11a #89 38, Bogotá, Colombia",4.6718074,-74.0491792,4.6,3205.0,https://maps.google.com/?cid=12725029891647613897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, point_of_interest, food, establishment",restaurante italiano Bogotá,
